Summary Statistic	joint	prior	likelihood	geography.clock.rate	H.nonZeroRates	H.indicators1	H.indicators2	H.indicators3	H.indicators4	H.indicators5	H.indicators6	H.indicators7	H.indicators8	H.indicators9	H.indicators10	H.indicators11	H.indicators12	H.indicators13	H.indicators14	H.indicators15	H.indicators16	H.indicators17	H.indicators18	H.indicators19	H.indicators20	H.indicators21	H.indicators22	H.indicators23	H.indicators24	geography.coefficients.Pop_size_origin	geography.coefficients.Pop_size_destination	geography.coefficients.pop_density_origin	geography.coefficients.pop_density_destination	geography.coefficients.Age_prop_origin	geography.coefficients.Age_prop_destination	geography.coefficients.dis_mat	geography.coefficients.wgt_lati_origin	geography.coefficients.wgt_lati_destination	geography.coefficients.Temperature_origin	geography.coefficients.Temperature_destination	geography.coefficients.Precipitation_origin	geography.coefficients.Precipitation_destination	geography.coefficients.Relative_humidity_origin	geography.coefficients.Relative_humidity_destination	geography.coefficients.Air_flow	geography.coefficients.Within_connectivity_origin	geography.coefficients.Within_connectivity_destination	geography.coefficients.stringency_index_origin	geography.coefficients.stringency_index_destination	geography.coefficients.idvi_origin	geography.coefficients.idvi_destination	geography.coefficients.sample_n_origin	geography.coefficients.sample_n_destination	geography.coefficientsTimesIndicators1	geography.coefficientsTimesIndicators2	geography.coefficientsTimesIndicators3	geography.coefficientsTimesIndicators4	geography.coefficientsTimesIndicators5	geography.coefficientsTimesIndicators6	geography.coefficientsTimesIndicators7	geography.coefficientsTimesIndicators8	geography.coefficientsTimesIndicators9	geography.coefficientsTimesIndicators10	geography.coefficientsTimesIndicators11	geography.coefficientsTimesIndicators12	geography.coefficientsTimesIndicators13	geography.coefficientsTimesIndicators14	geography.coefficientsTimesIndicators15	geography.coefficientsTimesIndicators16	geography.coefficientsTimesIndicators17	geography.coefficientsTimesIndicators18	geography.coefficientsTimesIndicators19	geography.coefficientsTimesIndicators20	geography.coefficientsTimesIndicators21	geography.coefficientsTimesIndicators22	geography.coefficientsTimesIndicators23	geography.coefficientsTimesIndicators24	geography.branchRates
mean	-4326.7629	-520.1625	-3806.6004	0.9077	1.7956	0.0356	0.0719	0.0382	0.1005	0.0307	0.0142	9.8878E-3	0.0352	0.1238	0.0279	0.0286	0.0266	0.0149	0.0209	6.9992E-3	0.9621	0.023	8.2213E-3	0.0279	0.0111	0.0152	9.9989E-3	0.1489	3.4441E-3	-0.0714	-0.0515	0.0172	-0.233	-0.1685	-0.0045	5.9944E-3	0.0168	-0.0685	0.1674	7.869E-3	0.0221	5.2085E-3	-0.0132	0.0132	0.9309	7.8335E-3	0.0192	-0.0538	-0.0016	0.2415	2.9947E-3	0.4192	0.6069	-0.0087	-0.0103	5.5056E-3	-0.023	-0.0056	7.6014E-4	-0.0003	4.6213E-3	-0.0167	4.1747E-3	2.3337E-3	1.6281E-3	8.6648E-4	8.0289E-4	1.4353E-4	0.8956	-0.0013	-0.0002	-0.0015	4.6153E-4	1.5681E-3	5.5515E-4	0.0613	1.1915E-3	0
stderr of mean	0.3751	0.4956	0.55	9.182E-4	0.0211	2.7038E-3	0.0102	3.0504E-3	6.4742E-3	4.3374E-3	2.9212E-3	1.333E-3	2.6659E-3	8.8409E-3	2.1486E-3	2.453E-3	2.3597E-3	1.6481E-3	1.9283E-3	1.0351E-3	2.2184E-3	2.2713E-3	1.1359E-3	2.7887E-3	1.5328E-3	1.7715E-3	1.5645E-3	5.4877E-3	6.1751E-4	0.0196	0.0205	0.0193	8.3282E-3	0.0308	0.0204	0.0205	0.0209	0.0188	0.0251	0.0209	0.0202	0.0212	0.0199	0.0212	1.2308E-3	0.021	0.0211	0.0193	0.021	0.0442	0.0208	5.9671E-3	0.0161	1.1689E-3	1.931E-3	7.9799E-4	1.4232E-3	1.5615E-3	3.7618E-4	1.2263E-4	8.6601E-4	1.3537E-3	5.133E-4	3.7115E-4	4.8626E-4	1.3703E-4	4.5509E-4	4.4091E-5	2.2597E-3	3.6765E-4	8.1965E-5	5.7337E-4	1.5722E-4	5.2863E-4	4.4945E-4	2.3567E-3	3.1386E-4	0
stdev	27.8523	24.9326	36.6905	0.0451	0.8958	0.1852	0.2583	0.1917	0.3007	0.1724	0.1184	0.099	0.1843	0.3293	0.1647	0.1666	0.1608	0.1211	0.143	0.0834	0.1909	0.1499	0.0903	0.1647	0.1048	0.1224	0.0995	0.356	0.0586	1.7411	1.7958	1.8057	0.6338	1.5297	1.9313	1.9484	1.8856	1.7027	1.5944	1.931	1.8809	1.9539	1.8659	1.9831	0.0657	1.8766	1.9766	1.8335	1.9487	1.5322	1.9744	0.3994	0.8489	0.0665	0.0471	0.0465	0.0727	0.0493	0.0208	9.3267E-3	0.0715	0.0506	0.041	0.0301	0.0316	0.0107	0.0313	4.1833E-3	0.189	0.0293	7.2685E-3	0.0323	0.0139	0.0425	0.0366	0.1528	0.0298	0
variance	775.7484	621.6321	1346.1935	2.0302E-3	0.8024	0.0343	0.0667	0.0368	0.0904	0.0297	0.014	9.7911E-3	0.034	0.1085	0.0271	0.0277	0.0259	0.0147	0.0205	6.951E-3	0.0365	0.0225	8.1546E-3	0.0271	0.011	0.015	9.9E-3	0.1267	3.4326E-3	3.0315	3.2249	3.2606	0.4017	2.3401	3.7299	3.7961	3.5555	2.8991	2.5421	3.7287	3.5378	3.8178	3.4814	3.9327	4.3115E-3	3.5217	3.9069	3.3617	3.7973	2.3478	3.8981	0.1595	0.7207	4.423E-3	2.2153E-3	2.1585E-3	5.2888E-3	2.4348E-3	4.3362E-4	8.6988E-5	5.1161E-3	2.5582E-3	1.6845E-3	9.0807E-4	9.9965E-4	1.1528E-4	9.8093E-4	1.75E-5	0.0357	8.5934E-4	5.2831E-5	1.0453E-3	1.9226E-4	1.8097E-3	1.3406E-3	0.0233	8.868E-4	0
median	-4325.839	-519.567	-3806.2571	0.9074	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.2799	-0.1457	0.1408	-0.245	-0.3735	0.0144	-0.0067	0.1086	-0.141	0.3747	0.045	0.1108	0.0303	0.0523	0.0259	0.9305	-0.0459	5.7676E-3	-0.1008	0.0215	0.441	7.235E-3	0.4275	0.7149	-0	0	-0	-0	0	0	0	-0	-0	-0	-0	0	0	0	0	0.9273	0	0	0	0	-0	0	0	0	0
value range	[-4428.5881, -4228.5128]	[-633.9596, -430.2204]	[-3947.5507, -3671.6499]	[0.7177, 1.1271]	[0, 6]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[0, 1]	[-7.9474, 8.248]	[-8.3606, 7.8503]	[-7.3592, 7.4313]	[-5.4837, 7.6886]	[-6.7412, 7.4521]	[-7.056, 7.9192]	[-7.7026, 7.7301]	[-6.9089, 7.0243]	[-8.3051, 7.3617]	[-7.6168, 7.3459]	[-7.76, 8.1393]	[-7.8259, 7.9106]	[-7.295, 7.0692]	[-7.496, 7.6951]	[-7.6683, 7.9059]	[0.6673, 1.2172]	[-7.3185, 7.5634]	[-7.6842, 7.5817]	[-6.4253, 7.2754]	[-8.2724, 8.409]	[-7.4255, 6.7724]	[-7.9007, 8.5383]	[-5.6038, 5.969]	[-7.2779, 5.3679]	[-0.9399, 0.4579]	[-0.328, 1.3183]	[-0.7151, 1.5335]	[-0.723, -0]	[-0.8089, 0.4845]	[-1.4774, 0.6703]	[-0.1969, 0.3672]	[-4.8122, 0.8149]	[-0.6604, 0.0203]	[-0.2826, 0.8287]	[-0.2388, 2.4269]	[-0.7257, 1.0588]	[-0.3317, 0.1788]	[-1.4599, 0.8531]	[-0.1471, 0.125]	[0, 1.2172]	[-1.1002, 1.4833]	[-0.5585, 0.1015]	[-0.7471, 0.3906]	[-0.9784, 0.4253]	[-0.3603, 2.2684]	[-0.8677, 3.2031]	[0, 0.8433]	[-0.0666, 1.0187]	[0, 0]
geometric mean	n/a	n/a	n/a	0.9066	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.9286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95% HPD interval	[-4380.5243, -4272.6041]	[-570.982, -473.9251]	[-3878.1977, -3734.5249]	[0.8192, 0.9954]	[0, 3]	[0, 0]	[0, 1]	[0, 0]	[0, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[1, 1]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 0]	[0, 1]	[0, 0]	[-3.4943, 3.826]	[-3.6565, 3.6458]	[-3.7429, 3.6693]	[-1.4331, 1.2079]	[-3.4122, 3.4012]	[-3.8848, 3.7274]	[-3.9618, 3.6868]	[-3.8927, 3.7223]	[-3.6508, 3.5954]	[-3.3026, 3.5176]	[-3.7681, 3.952]	[-3.9456, 3.7201]	[-4.031, 3.7462]	[-3.918, 3.5886]	[-3.862, 3.876]	[0.8069, 1.0607]	[-3.6551, 3.7752]	[-3.8606, 3.8399]	[-3.7904, 3.6402]	[-3.7059, 3.8996]	[-3.3577, 3.3223]	[-3.7559, 4.0357]	[0.1516, 0.761]	[-1.9561, 1.9952]	[0, 0]	[-0.1105, -0]	[-0, -0]	[-0.2314, -0]	[-0, -0]	[0, -0]	[-0, 0]	[0, -0]	[-0.1452, -0]	[-0, 0]	[0, 0]	[-0, -0]	[0, -0]	[-0, -0]	[0, -0]	[0.7725, 1.099]	[-0, -0]	[-0, -0]	[-0, -0]	[-0, 0]	[-0, -0]	[0, -0]	[0, 0.4545]	[-0, 0]	n/a
auto-correlation time (ACT)	1632.6983	3556.2192	2022.7215	3738.4119	4980.7454	1919.0692	14024.8082	2278.5671	4171.8358	5697.0315	5479.2888	1633.6554	1882.69	6487.3657	1532.8355	1952.5846	1938.9643	1667.1546	1636.5539	1387.4641	1215.2862	2066.664	1424.2515	2582.1724	1924.9569	1884.5396	2225.734	2139.2405	1000	1142.4521	1170.2122	1029.988	1554.216	3644.2528	1000	1000	1109.3799	1092.3995	2234.4717	1057.3596	1033.9506	1057.5352	1026.1154	1024.7301	3163.0473	1125.9508	1025.5296	1000	1047.3195	7506.5431	1000	2008.997	3237.4193	2780.895	15152.2187	2655.7309	3447.6346	9015.2657	2937.7377	1556.1673	1319.6168	6448.2053	1408.008	1365.5564	2129.2181	1466.2358	1900.6297	1000	1286.4903	1415.9053	1144.7523	2831.035	1157.2851	1390.0354	1356.3955	2141.6745	1000	n/a
effective sample size (ESS)	5513	2531.1	4449.9	2407.7	1807.2	4690.3	641.8	3950.3	2157.6	1579.9	1642.7	5509.7	4780.9	1387.5	5872.1	4609.8	4642.2	5399	5500	6487.4	7406.5	4355.3	6319.8	3485.8	4675.9	4776.2	4044.1	4207.6	9001	7878.7	7691.8	8738.9	5791.3	2469.9	9001	9001	8113.5	8239.7	4028.2	8512.7	8705.4	8511.3	8771.9	8783.8	2845.7	7994.1	8776.9	9001	8594.3	1199.1	9001	4480.3	2780.3	3236.7	594	3389.3	2610.8	998.4	3063.9	5784.1	6820.9	1395.9	6392.7	6591.5	4227.4	6138.8	4735.8	9001	6996.6	6357.1	7862.8	3179.4	7777.7	6475.4	6636	4202.8	9001	n/a
number of samples	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001
